layer,prompt_id,cosine_similarity,mae,rmse,max_error,drift_pct_01,drift_pct_05,top_1_overlap,top_3_overlap,top_5_overlap,top_10_overlap,relative_diff
5,24,0.999821,0.0019946154,0.0043708705,0.03824228,0.0,0.0,1.0,1.0,0.9571428571428572,1.0,6.1877995
0,25,0.99994814,0.0007395109,0.0015539788,0.016248107,0.0,0.0,1.0,1.0,0.9846153846153847,1.0,1.4159034
1,25,0.99990547,0.0011508036,0.0025547647,0.024113744,0.0,0.0,1.0,1.0,1.0,0.9846153846153847,3.9168472
2,25,0.9998171,0.0016072339,0.0036903303,0.031254917,0.0,0.0,1.0,1.0,0.9538461538461539,1.0,3.9508252
3,25,0.99986285,0.0014974902,0.0034963952,0.02622354,0.0,0.0,1.0,0.9487179487179487,0.9846153846153847,1.0,5.2697077
4,25,0.99978876,0.002055871,0.0042313226,0.036819875,0.0,0.0,1.0,0.9743589743589743,0.9692307692307692,0.9923076923076923,5.898087
5,25,0.99989754,0.001482379,0.003175268,0.034464777,0.0,0.0,1.0,1.0,0.9846153846153847,0.9846153846153847,4.426203
0,26,0.9999641,0.0007297081,0.0014068657,0.010052085,0.0,0.0,1.0,0.9722222222222222,1.0,1.0,1.3519536
1,26,0.9998934,0.0013719911,0.002857464,0.024067402,0.0,0.0,1.0,0.9444444444444443,1.0,0.9833333333333334,4.355343
2,26,0.9998515,0.0016293918,0.0034265392,0.032607734,0.0,0.0,1.0,0.9444444444444443,1.0,1.0,4.254017
3,26,0.9997355,0.0019889753,0.0050541395,0.041077018,0.0,0.0,1.0,0.9722222222222222,0.9666666666666668,1.0,5.5221195
4,26,0.99982953,0.0017988543,0.003738309,0.041452944,0.0,0.0,1.0,0.9444444444444443,1.0,1.0,4.763346
5,26,0.99985904,0.0018569016,0.0037757265,0.035586447,0.0,0.0,1.0,1.0,1.0,0.9916666666666667,4.5026574
0,27,0.9999672,0.0006419286,0.0012772855,0.012961686,0.0,0.0,1.0,1.0,1.0,1.0,1.306575
1,27,0.9998626,0.001320613,0.003116562,0.030178308,0.0,0.0,1.0,1.0,0.9846153846153847,0.9846153846153847,4.3092875
2,27,0.9996914,0.0018538368,0.0046485146,0.046391338,0.0,0.0,1.0,1.0,1.0,1.0,4.0791297
3,27,0.99986875,0.0014384522,0.0033541087,0.040252805,0.0,0.0,1.0,0.9743589743589743,0.9692307692307692,0.9846153846153847,4.81742
