layer,prompt_id,cosine_similarity,mae,rmse,max_error,drift_pct_01,drift_pct_05,top_1_overlap,top_3_overlap,top_5_overlap,top_10_overlap,relative_diff
3,26,0.9983266,0.0054082107,0.014113069,0.1401338,0.08333333333333334,2.166666666666667,1.0,1.0,0.9800000000000001,1.0,6.2498474
4,26,0.99889755,0.0041707032,0.012126097,0.107948065,0.08333333333333334,1.6666666666666667,1.0,1.0,0.9800000000000001,1.0,6.375055
5,26,0.9995233,0.0029521524,0.008349527,0.0801017,0.0,0.6666666666666667,1.0,0.9666666666666666,0.9800000000000001,1.0,7.049139
6,26,0.999432,0.0032251969,0.008893979,0.09174985,0.0,0.6666666666666667,1.0,0.9333333333333332,1.0,1.0,5.05908
7,26,0.99965173,0.0023686553,0.00727892,0.09454623,0.0,0.33333333333333337,1.0,0.9333333333333332,0.9800000000000001,1.0,5.9851465
8,26,0.99964446,0.0028409243,0.0069359373,0.07145882,0.0,0.16666666666666669,1.0,0.9666666666666666,0.96,1.0,5.196978
9,26,0.99977416,0.0021049483,0.006083015,0.069374084,0.0,0.08333333333333334,1.0,0.9666666666666666,0.9800000000000001,1.0,4.839618
10,26,0.99982774,0.001867303,0.005358631,0.056293815,0.0,0.16666666666666669,1.0,1.0,1.0,1.0,4.1951957
11,26,0.99986565,0.0016354312,0.004361512,0.042760953,0.0,0.0,1.0,1.0,1.0,1.0,2.993307
0,27,0.99998426,0.0004884742,0.0012045039,0.009316027,0.0,0.0,1.0,0.9696969696969696,1.0,1.0,0.6425584
1,27,0.99985296,0.0015540855,0.0034503872,0.0360412,0.0,0.0,1.0,1.0,1.0,1.0,1.5823818
2,27,0.99897015,0.0039606285,0.009661092,0.086021036,0.0,0.5509641873278237,1.0,1.0,1.0,0.990909090909091,4.056831
3,27,0.9976931,0.005952261,0.015932554,0.10620481,0.34435261707988984,2.9614325068870526,0.9090909090909091,1.0,1.0,1.0,8.487784
4,27,0.99888515,0.0039237533,0.011380471,0.113550544,0.2066115702479339,1.2396694214876034,1.0,1.0,1.0,1.0,7.713228
5,27,0.9993172,0.0029470264,0.009502462,0.09623414,0.0,1.0330578512396695,1.0,0.8484848484848484,0.9818181818181819,1.0,5.96192
6,27,0.9994576,0.002988112,0.008081092,0.09175801,0.0,0.4132231404958678,1.0,0.9090909090909091,0.9636363636363637,1.0,5.4063044
7,27,0.99966735,0.0023301498,0.0067906333,0.059154153,0.0,0.27548209366391185,1.0,0.9696969696969696,0.9818181818181819,1.0,6.08048
8,27,0.99972737,0.002160495,0.0058727483,0.06649183,0.0,0.2066115702479339,1.0,0.9696969696969696,0.9818181818181819,1.0,3.941046
9,27,0.99976915,0.0018847432,0.005672553,0.08962709,0.0,0.2066115702479339,1.0,1.0,0.9454545454545454,1.0,4.447467
10,27,0.9997535,0.0017152427,0.0060247774,0.0934546,0.0,0.27548209366391185,1.0,1.0,0.9818181818181819,1.0,4.176297
